'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Figure 1,"",'0,'34.03320313
'1,'Text 1,"'CO. FILE DEPT. CLOCK NUMBER ABC 126543 123456 12345 00000000 1",'1,'37.01171875
'1,'Text 2,"'ANY COMPANY CORP. 475 ANY AVENUE ANYTOWN, USA 10101",'2,'61.86523438
'1,'Title 1,"'Earnings Statement",'3,'33.81347656
'1,'Text 3,"'Period ending: 7/18/2008 Pay date: 7/25/2008",'4,'66.21093750
'1,'Text 4,"'Social Security Number: 987-65-4321 Taxable Marital Status: Married Exemptions/Allowances: Federal: 3, $25 Additional Tax State: 2 Local: 2",'5,'58.69140625
'1,'Text 5,"'JOHN STILES 101 MAIN STREET ANYTOWN, USA 12345",'6,'65.47851563
'1,'Table 1,"",'7,'57.27539063
'1,'Text 6,"'Your federal wages this period are $386.15",'8,'46.28906250
'1,'Table 2,"",'9,'75.68359375
'1,'Section header 1,"'Important Notes",'10,'32.98339844
'1,'Text 7,"'EFFECTIVE THIS PAY PERIOD YOUR REGULAR HOURLY RATE HAS BEEN CHANGED FROM $8.00 TO $10.00 PER HOUR.",'11,'61.96289063
'1,'Text 8,"'WE WILL BE STARTING OUR UNITED WAY FUND DRIVE SOON AND LOOK FORWARD TO YOUR PARTICIPATION",'12,'60.59570313
'1,'Text 9,"'E01385153",'13,'44.06738281
'1,'Text 10,"'ANY COMPANY CORP. 475 ANY AVENUE ANYTOWN, USA 10101",'14,'59.27734375
'1,'Text 11,"'Payroll check number: 0000000000 Pay date: 7/25/2008 Social Security No. 987-65-4321",'15,'67.04101563
'1,'Text 12,"'1999 ADP, Inc. Inc.",'16,'72.31445313
'1,'Text 13,"'Pay to the order of:",'17,'60.30273438
'1,'Section header 2,"'JOHN STILES",'18,'41.40625000
'1,'Text 14,"'This amount: TWO HUNDRED NINETY-ONE AND 90/100 DOLLARS $291.90 SAMPLE NON-NEGOTIABLE VOID VOID VOID AUTHORIZED SIGNATURE Signature autharized VOID AFTER 00 DAYS",'19,'28.17382813
'1,'Text 15,"'BANK NAME STREET ADDRESS CITY STATE ZIP",'20,'63.42773438
'1,'Text 16,"'TEAR HERE",'21,'72.65625000
'1,'Text 17,"'⑈001379⑈ ⑆122000496⑆4040110157⑈",'22,'40.20996094
